TYPE,CODE,NAME
location,110000,北京市
location,110101,    东城区
location,110102,    西城区
location,110105,    朝阳区
location,110106,    丰台区
location,110107,    石景山区
location,110108,    海淀区
location,110109,    门头沟区
location,110111,    房山区
location,110112,    通州区
location,110113,    顺义区
location,110114,    昌平区
location,110115,    大兴区
location,110116,    怀柔区
location,110117,    平谷区
location,110118,    密云区
location,110119,    延庆区
location,120000,天津市
location,120101,    和平区
location,120102,    河东区
location,120103,    河西区
location,120104,    南开区
location,120105,    河北区
location,120106,    红桥区
location,120110,    东丽区
location,120111,    西青区
location,120112,    津南区
location,120113,    北辰区
location,120114,    武清区
location,120115,    宝坻区
location,120116,    滨海新区
location,120117,    宁河区
location,120118,    静海区
location,120119,    蓟州区
location,130000,河北省
location,130100,  石家庄市
location,130102,    长安区
location,130104,    桥西区
location,130105,    新华区
location,130107,    井陉矿区
location,130108,    裕华区
location,130109,    藁城区
location,130110,    鹿泉区
location,130111,    栾城区
location,130121,    井陉县
location,130123,    正定县
location,130125,    行唐县
location,130126,    灵寿县
location,130127,    高邑县
location,130128,    深泽县
location,130129,    赞皇县
location,130130,    无极县
location,130131,    平山县
location,130132,    元氏县
location,130133,    赵县
location,130181,    辛集市
location,130183,    晋州市
location,130184,    新乐市
location,130200,  唐山市
location,130202,    路南区
location,130203,    路北区
location,130204,    古冶区
location,130205,    开平区
location,130207,    丰南区
location,130208,    丰润区
location,130209,    曹妃甸区
location,130223,    滦县
location,130224,    滦南县
location,130225,    乐亭县
location,130227,    迁西县
location,130229,    玉田县
location,130281,    遵化市
location,130283,    迁安市
location,130300,  秦皇岛市
location,130302,    海港区
location,130303,    山海关区
location,130304,    北戴河区
location,130306,    抚宁区
location,130321,    青龙满族自治县
location,130322,    昌黎县
location,130324,    卢龙县
location,130400,  邯郸市
location,130402,    邯山区
location,130403,    丛台区
location,130404,    复兴区
location,130406,    峰峰矿区
location,130407,    肥乡区
location,130408,    永年区
location,130423,    临漳县
location,130424,    成安县
location,130425,    大名县
location,130426,    涉县
location,130427,    磁县
location,130430,    邱县
location,130431,    鸡泽县
location,130432,    广平县
location,130433,    馆陶县
location,130434,    魏县
location,130435,    曲周县
location,130481,    武安市
location,130500,邢台市
location,130502,    桥东区
location,130503,    桥西区
location,130521,    邢台县
location,130522,    临城县
location,130523,    内丘县
location,130524,    柏乡县
location,130525,    隆尧县
location,130526,    任县
location,130527,    南和县
location,130528,    宁晋县
location,130529,    巨鹿县
location,130530,    新河县
location,130531,    广宗县
location,130532,    平乡县
location,130533,    威县
location,130534,    清河县
location,130535,    临西县
location,130581,    南宫市
location,130582,    沙河市
location,130600,保定市
location,130602,    竞秀区
location,130606,    莲池区
location,130607,    满城区
location,130608,    清苑区
location,130609,    徐水区
location,130623,    涞水县
location,130624,    阜平县
location,130626,    定兴县
location,130627,    唐县
location,130628,    高阳县
location,130629,    容城县
location,130630,    涞源县
location,130631,    望都县
location,130632,    安新县
location,130633,    易县
location,130634,    曲阳县
location,130635,    蠡县
location,130636,    顺平县
location,130637,    博野县
location,130638,    雄县
location,130681,    涿州市
location,130682,    定州市
location,130683,    安国市
location,130684,    高碑店市
location,130700,张家口市
location,130702,    桥东区
location,130703,    桥西区
location,130705,    宣化区
location,130706,    下花园区
location,130708,    万全区
location,130709,    崇礼区
location,130722,    张北县
location,130723,    康保县
location,130724,    沽源县
location,130725,    尚义县
location,130726,    蔚县
location,130727,    阳原县
location,130728,    怀安县
location,130730,    怀来县
location,130731,    涿鹿县
location,130732,    赤城县
location,130800,承德市
location,130802,    双桥区
location,130803,    双滦区
location,130804,    鹰手营子矿区
location,130821,    承德县
location,130822,    兴隆县
location,130824,    滦平县
location,130825,    隆化县
location,130826,    丰宁满族自治县
location,130827,    宽城满族自治县
location,130828,    围场满族蒙古族自治县
